text_id,song_id,corpus,category,presence,density
k00000,8b332c1e-f10e-4afc-a,korean,genre,0,0.0
k00000,8b332c1e-f10e-4afc-a,korean,mood,1,0.2
k00000,8b332c1e-f10e-4afc-a,korean,instrumentation,0,0.0
k00000,8b332c1e-f10e-4afc-a,korean,timbre,1,0.2
k00000,8b332c1e-f10e-4afc-a,korean,function,1,0.2
k00000,8b332c1e-f10e-4afc-a,korean,theory,1,0.4
k00000,8b332c1e-f10e-4afc-a,korean,story,0,0.0
k00001,e374a9d0-706d-4bf3-a,korean,genre,1,0.2
k00001,e374a9d0-706d-4bf3-a,korean,mood,0,0.0
k00001,e374a9d0-706d-4bf3-a,korean,instrumentation,0,0.0
k00001,e374a9d0-706d-4bf3-a,korean,timbre,1,0.1
k00001,e374a9d0-706d-4bf3-a,korean,function,1,0.6
k00001,e374a9d0-706d-4bf3-a,korean,theory,1,0.1
k00001,e374a9d0-706d-4bf3-a,korean,story,0,0.0
k00002,c243ba53-0eea-4dfd-b,korean,genre,0,0.0
k00002,c243ba53-0eea-4dfd-b,korean,mood,1,0.2857142857142857
k00002,c243ba53-0eea-4dfd-b,korean,instrumentation,1,0.4285714285714285
k00002,c243ba53-0eea-4dfd-b,korean,timbre,0,0.0
k00002,c243ba53-0eea-4dfd-b,korean,function,1,0.1428571428571428
k00002,c243ba53-0eea-4dfd-b,korean,theory,1,0.1428571428571428
k00002,c243ba53-0eea-4dfd-b,korean,story,0,0.0
k00003,9a496feb-6a67-4f22-a,korean,genre,1,0.1666666666666666
k00003,9a496feb-6a67-4f22-a,korean,mood,1,0.1666666666666666
k00003,9a496feb-6a67-4f22-a,korean,instrumentation,1,0.1666666666666666
k00003,9a496feb-6a67-4f22-a,korean,timbre,1,0.1666666666666666
k00003,9a496feb-6a67-4f22-a,korean,function,1,0.1666666666666666
k00003,9a496feb-6a67-4f22-a,korean,theory,0,0.0
k00003,9a496feb-6a67-4f22-a,korean,story,1,0.1666666666666666
k00004,924be17b-f5f1-4628-9,korean,genre,0,0.0
k00004,924be17b-f5f1-4628-9,korean,mood,0,0.0
k00004,924be17b-f5f1-4628-9,korean,instrumentation,1,0.3333333333333333
k00004,924be17b-f5f1-4628-9,korean,timbre,0,0.0
k00004,924be17b-f5f1-4628-9,korean,function,1,0.1666666666666666
k00004,924be17b-f5f1-4628-9,korean,theory,1,0.1666666666666666
k00004,924be17b-f5f1-4628-9,korean,story,1,0.3333333333333333
k00005,54f0f9eb-f14f-4d8d-b,korean,genre,0,0.0
k00005,54f0f9eb-f14f-4d8d-b,korean,mood,1,0.4285714285714285
k00005,54f0f9eb-f14f-4d8d-b,korean,instrumentation,1,0.2857142857142857
k00005,54f0f9eb-f14f-4d8d-b,korean,timbre,0,0.0
k00005,54f0f9eb-f14f-4d8d-b,korean,function,0,0.0
k00005,54f0f9eb-f14f-4d8d-b,korean,theory,0,0.0
k00005,54f0f9eb-f14f-4d8d-b,korean,story,1,0.2857142857142857
k00006,56487772-7530-4ead-a,korean,genre,0,0.0
k00006,56487772-7530-4ead-a,korean,mood,0,0.0
k00006,56487772-7530-4ead-a,korean,instrumentation,1,0.1666666666666666
k00006,56487772-7530-4ead-a,korean,timbre,1,0.3333333333333333
k00006,56487772-7530-4ead-a,korean,function,1,0.1666666666666666
k00006,56487772-7530-4ead-a,korean,theory,1,0.3333333333333333
k00006,56487772-7530-4ead-a,korean,story,0,0.0
k00007,566f7399-846c-4579-a,korean,genre,0,0.0
k00007,566f7399-846c-4579-a,korean,mood,0,0.0
k00007,566f7399-846c-4579-a,korean,instrumentation,1,0.2857142857142857
k00007,566f7399-846c-4579-a,korean,timbre,1,0.1428571428571428
k00007,566f7399-846c-4579-a,korean,function,0,0.0
k00007,566f7399-846c-4579-a,korean,theory,1,0.5714285714285714
k00007,566f7399-846c-4579-a,korean,story,0,0.0
k00008,58339466-2de5-4409-b,korean,genre,1,0.1428571428571428
k00008,58339466-2de5-4409-b,korean,mood,0,0.0
